APARCAMIENTO,EventTime,EventDesc
VEGUETA,01/05/2023 13:01,SALIDA
VEGUETA,01/05/2023 13:01,SALIDA
VEGUETA,01/05/2023 13:02,SALIDA
VEGUETA,01/05/2023 13:03,ENTRADA
VEGUETA,01/05/2023 13:03,SALIDA
VEGUETA,01/05/2023 13:03,ENTRADA
VEGUETA,01/05/2023 13:06,ENTRADA
VEGUETA,01/05/2023 13:06,SALIDA
VEGUETA,01/05/2023 13:07,ENTRADA
VEGUETA,01/05/2023 13:07,ENTRADA
VEGUETA,01/05/2023 13:08,ENTRADA
VEGUETA,01/05/2023 13:08,SALIDA
VEGUETA,01/05/2023 13:09,ENTRADA
VEGUETA,01/05/2023 13:10,ENTRADA
VEGUETA,01/05/2023 13:10,SALIDA
VEGUETA,01/05/2023 13:11,SALIDA
VEGUETA,01/05/2023 13:11,SALIDA
VEGUETA,01/05/2023 13:12,SALIDA
VEGUETA,01/05/2023 13:12,SALIDA
VEGUETA,01/05/2023 13:13,ENTRADA
VEGUETA,01/05/2023 13:13,ENTRADA
VEGUETA,01/05/2023 13:15,ENTRADA
VEGUETA,01/05/2023 13:15,ENTRADA
VEGUETA,01/05/2023 13:15,ENTRADA
VEGUETA,01/05/2023 13:16,SALIDA
VEGUETA,01/05/2023 13:16,SALIDA
VEGUETA,01/05/2023 13:17,ENTRADA
VEGUETA,01/05/2023 13:17,SALIDA
VEGUETA,01/05/2023 13:17,SALIDA
VEGUETA,01/05/2023 13:18,SALIDA
VEGUETA,01/05/2023 13:18,ENTRADA
VEGUETA,01/05/2023 13:19,ENTRADA
VEGUETA,01/05/2023 13:20,SALIDA
VEGUETA,01/05/2023 13:20,SALIDA
VEGUETA,01/05/2023 13:21,SALIDA
VEGUETA,01/05/2023 13:21,SALIDA
VEGUETA,01/05/2023 13:21,SALIDA
VEGUETA,01/05/2023 13:22,ENTRADA
VEGUETA,01/05/2023 13:23,SALIDA
VEGUETA,01/05/2023 13:23,SALIDA
VEGUETA,01/05/2023 13:24,SALIDA
VEGUETA,01/05/2023 13:24,ENTRADA
VEGUETA,01/05/2023 13:26,SALIDA
VEGUETA,01/05/2023 13:28,SALIDA
VEGUETA,01/05/2023 13:29,SALIDA
VEGUETA,01/05/2023 13:30,ENTRADA
VEGUETA,01/05/2023 13:31,ENTRADA
VEGUETA,01/05/2023 13:31,ENTRADA
VEGUETA,01/05/2023 13:32,SALIDA
VEGUETA,01/05/2023 13:33,SALIDA
VEGUETA,01/05/2023 13:33,SALIDA
VEGUETA,01/05/2023 13:34,SALIDA
VEGUETA,01/05/2023 13:34,SALIDA
VEGUETA,01/05/2023 13:34,SALIDA
VEGUETA,01/05/2023 13:35,ENTRADA
VEGUETA,01/05/2023 13:39,ENTRADA
VEGUETA,01/05/2023 13:39,ENTRADA
VEGUETA,01/05/2023 13:46,ENTRADA
VEGUETA,01/05/2023 13:46,SALIDA
VEGUETA,01/05/2023 13:47,ENTRADA
